CódigodoMunicípio,Município,Estado,AnodeReferência,Tipodeserviço,Naturezajurídica,POP_TOTAL,POP_TOTAL_ESGOTO,POP_TOTAL_AGUA,REGIAO,DIF_AG_2011_2020,DIF_ES_2011_2020,INV_TOTAL,INV_TOTAL_AG,INV_TOTAL_ES,INV_TOTAL_PCP,INV_TOTAL_AG_PCP,INV_TOTAL_ES_PCP,latitude,longitude,COD_IBGE,IDHM,IDHM_RENDA,IDHM_EDUCACAO,IDHM_LONGEVIDADE
316220,São João Batista do Glória,MG,2020,Água e Esgoto,Autarquia,7498.0,6000.0,6090.0,SE,0.013802748264713838,0.013912020374382994,4178762.088482693,1101934.2465103709,3066320.447083597,7.669806615097359,5.492694051747133,2.1771125633502266,-20.635,-46.508,316220,0.724,0.845,0.631,0.713
316225,São João da Lagoa,MG,2020,Água         ,Administração pública direta,4932.0,,4920.0,SE,0.4768226841416229,,0.0,0.0,0.0,,,,-168.455,-443.507,316225,0.634,0.813,0.546,0.575
316230,São João da Mata,MG,2020,Água e Esgoto,Administração pública direta,2746.0,2700.0,2700.0,SE,0.34185641986078985,0.34185641986078985,0.0,0.0,0.0,,,,-21.928,-459.297,316230,0.653,0.822,0.501,0.676
316240,São João da Ponte,MG,2020,Água e Esgoto,Sociedade de economia mista com administração pública,25098.0,2045.0,6567.0,SE,-0.03707726115885973,,13252625.628992356,1751220.013871068,11295080.766410032,38.56433181926847,29.20880468563232,8.539007092198581,-159.271,-440.096,316240,0.569,0.786,0.419,0.559
316245,São João das Missões,MG,2020,Água         ,Sociedade de economia mista com administração pública,13125.0,,2274.0,SE,-0.035551716725239435,,300583.3494383069,183816.61661724426,0.0,3.514710095238095,2.9177142857142857,0.0,-148.859,-440.922,316245,0.529,0.776,0.381,0.502
316250,São João del Rei,MG,2020,Água e Esgoto,Sociedade de economia mista com administração pública,90497.0,11149.0,12609.0,SE,0.022007018380268847,0.022477944879914988,11816598.52803271,6643428.252966681,2214649.547741889,3.6596919234891767,2.590060222990817,0.6101858625147795,-211.311,-442.526,316250,0.758,0.86,0.69,0.733
316250,São João del Rei,MG,2020,Água e Esgoto,Autarquia,90497.0,73987.0,80497.0,SE,0.750168513873388,0.6943655590793065,11816598.52803271,6643428.252966681,2214649.547741889,56.084735405593555,40.71119937677492,14.56768832115982,-211.311,-442.526,316250,0.758,0.86,0.69,0.733
316255,São João do Manhuaçu,MG,2020,Água e Esgoto,Sociedade de economia mista com administração pública,11674.0,4788.0,5144.0,SE,-0.00228462011441416,-0.01984911892246688,594439.9583332869,223578.1914230537,213271.80536433114,7.881875107075552,4.013338187425047,2.75989463765633,-203.933,-421.533,316255,0.65,0.836,0.498,0.659
316257,São João do Manteninha,MG,2020,Água e Esgoto,Empresa pública,5918.0,2114.0,2039.0,SE,-0.08353946431548043,,0.0,0.0,0.0,,,,-18.723,-411.628,316257,0.64,0.805,0.522,0.623
316260,São João do Oriente,MG,2020,Água         ,Sociedade de economia mista com administração pública,7444.0,,5498.0,SE,-0.06466376910633331,,853159.5092411248,663521.0352335662,0.0,11.288091080064483,8.586792047286405,0.0,-193.384,-421.575,316260,0.648,0.805,0.536,0.631
316265,São João do Pacuí,MG,2020,Água         ,Administração pública direta,4448.0,,4419.0,SE,0.0010578252137962707,,0.0,0.0,0.0,,,,-165.373,-445.134,316265,0.625,0.798,0.504,0.606
316270,São João do Paraíso,MG,2020,Água e Esgoto,Sociedade de economia mista com administração pública,23709.0,6334.0,10882.0,SE,0.00041803891211567024,-0.12521694900956581,2298428.219414827,1253149.436415859,636576.8767333317,19.508219241638198,13.450966721498164,4.37537095617698,-153.168,-420.213,316270,0.615,0.808,0.493,0.583
316280,São João Evangelista,MG,2020,Água         ,Sociedade de economia mista com administração pública,15767.0,,10452.0,SE,,,1362793.1764771105,910517.018994072,3732.91,10.853303101414346,8.293701401661698,0.23675461406735587,-18.548,-427.655,316280,0.638,0.806,0.52,0.62
316280,São João Evangelista,MG,2020,Esgotos      ,Administração pública direta,15767.0,10600.0,,SE,,,1362793.1764771105,910517.018994072,3732.91,,,,-18.548,-427.655,316280,0.638,0.806,0.52,0.62
316290,São João Nepomuceno,MG,2020,Água e Esgoto,Sociedade de economia mista com administração pública,26447.0,18010.0,21060.0,SE,-0.15491282065712186,,11927707.505637027,1439662.0585175252,9747136.814007355,55.49194388777555,19.30373955458086,33.10236321700003,-215.381,-430.069,316290,0.708,0.85,0.6,0.696
316292,São Joaquim de Bicas,MG,2020,Água e Esgoto,Sociedade de economia mista com administração pública,32148.0,8968.0,21315.0,SE,-0.06529025026033641,-0.14082259795152902,57115514.21246589,7055218.712747275,48828446.05888566,49.96669497324873,21.749780701754386,25.73136058230683,-20.048,-442.749,316292,0.662,0.844,0.518,0.664
