CódigodoMunicípio,Município,Estado,AnodeReferência,Naturezajurídica,POP_TOTAL,REGIAO,PERCENT_AG,PERCENT_ES,INVESTIMENTO_TOTAL_ATUAL2020_y,INVESTIMENTO_TOTAL_AG_ATUAL2020_y,INVESTIMENTO_TOTAL_ES_ATUAL2020_y,INVESTIMENTO_TOTAL_ATUAL2020_PCP,INVESTIMENTO_TOTAL_AG_ATUAL2020_PCP,INVESTIMENTO_TOTAL_ES_ATUAL2020_PCP
432218,Tupanci do Sul,RS,2020,Administração pública direta,1459.0,S,1.0,,0.0,0.0,0.0,,,
432220,Tupanciretã,RS,2020,Sociedade de economia mista com administração pública,24068.0,S,0.8087502077447233,,2386153.283457252,1728030.6297043154,0.0,13.077644174837959,2.138221289679242,0.0
432225,Tupandi,RS,2020,Administração pública direta,4939.0,S,0.133630289532294,0.07896335290544644,286917.68310698774,231317.94938278777,0.0,,,
432225,Tupandi,RS,2020,Organização social,4939.0,S,0.6681514476614699,,286917.68310698774,231317.94938278777,0.0,34.93607410406965,24.22728892488358,0.0
432230,Tuparendi,RS,2020,Sociedade de economia mista com administração pública,7810.0,S,0.6186939820742637,,1345826.3813138143,1190226.7560248605,0.0,36.161891165172854,32.97175800256082,0.0
432232,Turuçu,RS,2020,Administração pública direta,3423.0,S,0.7791411042944786,,0.0,0.0,0.0,,,
432235,União da Serra,RS,2020,Administração pública direta,1118.0,S,0.9838998211091234,,0.0,0.0,0.0,,,
432237,Unistalda,RS,2020,Sociedade de economia mista com administração pública,2321.0,S,0.37268418785006463,,184889.47379344076,19635.83363909582,0.0,2.2010986643688066,0.9738345540715209,0.0
432240,Uruguaiana,RS,2020,Empresa privada,126866.0,S,0.9360664007693157,0.858551542572478,340662067.3750291,67103352.47262414,233344318.36963722,183.54632683303643,41.153812132486244,127.98801696277962
432250,Vacaria,RS,2020,Sociedade de economia mista com administração pública,66575.0,S,0.9347502816372513,,16769542.87182381,13265022.785788974,515206.4105971031,7.972486969583176,5.52416627863312,0.0
432252,Vale Verde,RS,2020,Administração pública direta,3515.0,S,0.9254623044096728,,0.0,0.0,0.0,,,
432253,Vale do Sol,RS,2020,Administração pública direta,11828.0,S,0.6385694961109233,,0.0,0.0,0.0,,,
432254,Vale Real,RS,2020,Administração pública direta,5981.0,S,0.9446580839324528,,0.0,0.0,0.0,,,
432255,Vanini,RS,2020,Administração pública direta,2122.0,S,1.0,,0.0,0.0,0.0,,,
432260,Venâncio Aires,RS,2020,Sociedade de economia mista com administração pública,71973.0,S,0.6280271768579884,0.031345087741236295,49395161.15952564,5778012.547454253,38154984.90863579,108.00927528378698,8.075247106553848,92.58826879524266
432270,Vera Cruz,RS,2020,Administração pública direta,27099.0,S,0.9682645116055943,0.5247426104284291,0.0,0.0,0.0,,,
432280,Veranópolis,RS,2020,Sociedade de economia mista com administração pública,26533.0,S,0.8811668488297592,,4280962.147245386,1451300.340399634,1744812.5937089694,46.59641427656126,2.7207228734029325,39.34572042362341
432280,Veranópolis,RS,2020,Administração pública direta,26533.0,S,,0.8668450608675988,4280962.147245386,1451300.340399634,1744812.5937089694,,,
432285,Vespasiano Corrêa,RS,2020,Administração pública direta,1795.0,S,1.0,,0.0,0.0,0.0,,,
432290,Viadutos,RS,2020,Sociedade de economia mista com administração pública,4690.0,S,0.4976545842217484,,5399647.196946909,4579234.948978705,0.0,4.546624733475479,2.6605714285714286,0.0
432300,Viamão,RS,2020,Sociedade de economia mista com administração pública,256302.0,S,0.9347410476703264,0.04227824987709811,52580805.06759837,20067100.974040937,24607265.607557017,13.939672339661804,8.772883278320107,1.9983840157314419
432310,Vicente Dutra,RS,2020,Sociedade de economia mista com administração pública,4599.0,S,0.44487932159165033,,225711.28828429454,87147.64467526702,0.0,2.131256794955425,0.8299282452707111,0.0
432320,Victor Graeff,RS,2020,Sociedade de economia mista com administração pública,2860.0,S,0.4230769230769231,,362995.32661901874,327088.09105512087,0.0,2.5067762237762237,0.7853671328671329,0.0
432330,Vila Flores,RS,2020,Sociedade de economia mista com administração pública,3396.0,S,0.48851590106007065,,216369.35939070757,189963.5122806188,0.0,11.858574793875148,9.914605418138986,0.0
432335,Vila Lângaro,RS,2020,Administração pública direta,2080.0,S,0.1798076923076923,0.1798076923076923,0.0,0.0,0.0,,,
432340,Vila Maria,RS,2020,Administração pública direta,4363.0,S,0.9977079990831996,,0.0,0.0,0.0,,,
432345,Vila Nova do Sul,RS,2020,Sociedade de economia mista com administração pública,4277.0,S,0.5197568389057751,,374182.13562546764,161702.65308517677,0.0,3.0206710310965628,1.0818330605564648,0.0
432345,Vila Nova do Sul,RS,2020,Administração pública direta,4277.0,S,,0.3638064063595978,374182.13562546764,161702.65308517677,0.0,,,
432350,Vista Alegre,RS,2020,Sociedade de economia mista com administração pública,2739.0,S,0.4465133260313983,,413619.3521434909,357255.7492086136,0.0,7.487426067907996,3.4311500547645126,0.0
432360,Vista Alegre do Prata,RS,2020,Administração pública direta,1557.0,S,0.9987154784842646,,0.0,0.0,0.0,,,
432370,Vista Gaúcha,RS,2020,Sociedade de economia mista com administração pública,2855.0,S,0.3499124343257443,,261197.01464562834,185743.6461931667,0.0,1.1048406304728546,0.0,0.0
432375,Vitória das Missões,RS,2020,Administração pública direta,3092.0,S,1.0,,0.0,0.0,0.0,,,
432377,Westfália,RS,2020,Administração pública direta,3031.0,S,1.0,,127399.125609,127399.125609,0.0,,,
